	Cluster	strain	effect	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
1	3A only.up	3A only	up	GO:0009081	branched-chain amino acid metabolic process	9/224	21/2531	3.24752229577047e-05	0.0220935911218174	0.0213473032834528	leuD/leuC/leuB/leuA/panE/ilvB/ilvE/ilvD/ilvA	9
2	3A only.up	3A only	up	GO:0009082	branched-chain amino acid biosynthetic process	8/224	18/2531	6.66832197687639e-05	0.0220935911218174	0.0213473032834528	leuD/leuC/leuB/leuA/ilvB/ilvE/ilvD/ilvA	8
3	3A only.up	3A only	up	GO:0006097	glyoxylate cycle	5/224	7/2531	9.42157403915454e-05	0.0220935911218174	0.0213473032834528	acnB/prpB/acnA/glcB/aceB	5
4	3A only.up	3A only	up	GO:0019541	propionate metabolic process	5/224	7/2531	9.42157403915454e-05	0.0220935911218174	0.0213473032834528	acnB/prpB/prpC/prpD/ackA	5
5	3A only.up	3A only	up	GO:0044283	small molecule biosynthetic process	35/224	214/2531	0.000152699694642412	0.0225680487755259	0.0218057344806731	thrB/pdxA/leuD/leuC/leuB/leuA/ispU/fabZ/proB/proA/dxs/yajL/panE/ybjI/mgsA/purU/fabI/folM/ribC/ppsA/hchA/ackA/aroC/alaC/cysK/gabT/folP/ilvB/ilvM/ilvE/ilvD/ilvA/argE/birA/fbp	35
6	3A only.up	3A only	up	GO:0010876	lipid localization	8/224	20/2531	0.000164074471669233	0.0225680487755259	0.0218057344806731	acrA/putP/lolB/mlaC/mlaE/mlaF/lptB/yhjD	8
7	3A only.up	3A only	up	GO:0006551	leucine metabolic process	5/224	8/2531	0.000233159419822586	0.0225680487755259	0.0218057344806731	leuD/leuC/leuB/leuA/ilvE	5
8	3A only.up	3A only	up	GO:0009098	leucine biosynthetic process	5/224	8/2531	0.000233159419822586	0.0225680487755259	0.0218057344806731	leuD/leuC/leuB/leuA/ilvE	5
9	3A only.up	3A only	up	GO:0046459	short-chain fatty acid metabolic process	5/224	8/2531	0.000233159419822586	0.0225680487755259	0.0218057344806731	acnB/prpB/prpC/prpD/ackA	5
10	3A only.up	3A only	up	GO:0016053	organic acid biosynthetic process	27/224	153/2531	0.000264657288412351	0.0225680487755259	0.0218057344806731	thrB/leuD/leuC/leuB/leuA/fabZ/proB/proA/yajL/panE/purU/fabI/folM/hchA/ackA/aroC/alaC/cysK/gabT/folP/ilvB/ilvM/ilvE/ilvD/ilvA/argE/birA	27
11	3A only.up	3A only	up	GO:0046394	carboxylic acid biosynthetic process	27/224	153/2531	0.000264657288412351	0.0225680487755259	0.0218057344806731	thrB/leuD/leuC/leuB/leuA/fabZ/proB/proA/yajL/panE/purU/fabI/folM/hchA/ackA/aroC/alaC/cysK/gabT/folP/ilvB/ilvM/ilvE/ilvD/ilvA/argE/birA	27
12	3A only.up	3A only	up	GO:0006081	cellular aldehyde metabolic process	12/224	47/2531	0.00054701463162622	0.0427583103721162	0.0413139998096645	pdxA/acnB/prpB/dxs/yajL/mgsA/acnA/zwf/hchA/yeiG/glcB/aceB	12
13	3A only.up	3A only	up	GO:0006560	proline metabolic process	3/224	3/2531	0.000684769423943202	0.0494087476660557	0.0477397954668095	proB/proA/putA	3
14	3A only.up	3A only	up	GO:0006869	lipid transport	7/224	19/2531	0.00077319099427688	0.0518037966165509	0.0500539433137138	acrA/putP/mlaC/mlaE/mlaF/lptB/yhjD	7
