	category	3A_1_log2FC	3Amk_1_log2FC
aceA	gene	-3.80643434987382	-4.0779771214769
aceB	gene	-4.37255742615891	-4.77069914118035
aceK	gene	-2.73590920703924	-2.71373988293134
acnA	gene	-1.79194690484346	-0.214120157130372
aidB	gene	-2.63083300048924	-1.05636423444597
appY	gene	-2.83154150739626	-1.74661132685095
argB	gene	-1.78730408929133	-1.58568050192984
argO	gene	0.741717934011507	-1.02509150920663
asnA	gene	-4.65751223762406	-4.54897251522978
astA	gene	-2.67110062554229	0.167526186137608
astB	gene	-3.99605289621975	-1.77245046749559
astC	gene	-2.00519475411756	0.182416436459815
btuE	gene	-1.94039767288507	-1.16420108225532
cadA	gene	1.81324704220623	2.49307244732937
cheY	gene	-1.29439999079053	-0.0401234606052249
cheZ	gene	-2.00669992971896	0.655891344257557
clpB	gene	1.5183235794544	2.48816808066773
copA	gene	-1.2233785770262	-1.54953322024632
cstA	gene	1.35175364572668	-0.191656832421553
cydD	gene	1.27020100550324	0.416577726747206
cysD	gene	4.97452112806987	-0.264454068974072
cysH	gene	3.56646080019296	-0.930628798406785
cysK	gene	3.32969298505254	0.923815948358514
cysM	gene	2.55784014196458	-0.849749136073842
cysN	gene	4.49538341697162	-0.882728346174514
cysW	gene	3.87086233904958	0.587612736537776
ddpA	gene	-1.35472192246645	-4.59992902625245
deaD	gene	-0.194923487324384	1.1299051757509
dnaB	gene	0.818336467169492	1.16352154633311
dnaJ	gene	1.80490848384863	2.19650179817547
dnaK	gene	1.87850515731759	3.16130336895553
dppC	gene	-0.328665610162902	-2.02350860579867
dppD	gene	-1.40258807106258	-1.49519870474827
dppF	gene	-0.599296185022712	-2.1016568679698
dps	gene	-1.94684769816281	-1.39422345713105
dusB	gene	0.775146510531036	1.41398305078836
eamB	gene	0.0304086710403795	-6.17948224712147
elaB	gene	-1.96900659517182	-1.04176490398321
fadD	gene	3.60510648166594	2.72023429937112
fis	gene	0.420950477764444	1.464150968391
flgB	gene	-7.16958310614093	-1.38579011146306
flgE	gene	-4.03721256874239	-1.17767879349088
flgG	gene	-4.33393733391479	-1.65939406706369
fliL	gene	-5.94277764718108	0.221656103090808
fliM	gene	-2.59191281110353	-1.30994053758472
frcK	gene	0.55798868078827	1.02830337990809
ftsW	gene	0.696199456548519	-1.07068817697398
gadA	gene	-6.05463398994282	0.0638379015690467
gadB	gene	-5.81267766110645	-0.146547786793425
gadC	gene	-6.25815875104245	-0.735748327984021
gadW	gene	-1.61424439864839	-1.50843368490901
gcvH	gene	0.0551434774303504	-1.72467727394061
gcvT	gene	0.862139384365871	-1.90695401799084
gidA	gene	0.447384477547636	1.3295547509563
gidB	gene	0.0597688924751684	1.749271200109
glcB	gene	-1.29423152137869	-0.25351676127608
glyA	gene	-0.289699462925605	-1.0478933521837
groL	gene	1.50335784762426	1.8987632685696
groS	gene	2.08712350769687	2.17700552454782
grpE	gene	1.22187520415199	2.07617167141811
gsiA	gene	1.97386343334537	-1.24642211729008
gsiC	gene	2.01549451221737	-1.59054342667919
gsiD	gene	2.17620135818626	-0.521544274143203
hchA	gene	-2.42567403523374	-1.09918760869671
hdeA	gene	-5.48332232215725	-1.46588092809502
hdeB	gene	-6.07723595018488	-1.5738916719311
hdeD	gene	-5.43061072931107	-1.99553858418186
hslJ	gene	-1.36190849202046	-1.14225640964789
hslR	gene	-0.0113148177769901	1.89257356116796
hslV	gene	1.20068710941493	1.58638561337282
htpG	gene	1.96388844712584	2.41485765477355
ibpA	gene	2.04668320020241	3.815617025362
ibpB	gene	1.20444873241532	4.2613566029958
iscA	gene	1.33881503435636	0.705583882236717
iscU	gene	1.26041971417755	0.8779124916774
katE	gene	-2.93029322623393	-1.73779625291594
